Identifiant	Fasta_Identifiant	Beginning_Domain	End_Domain	Iteration_0	Iteration_1	Iteration_2	Iteration_3	Iteration_4	Iteration_5	Iteration_6	For_Next_Iteration	Manual_Verification	True_CoBaHMA
UniRef100_A0A523REV4	UniRef100_A0A523REV4_0	60	145	False	False	True	True	False	False	False	False	False (2 HMA)	False
UniRef100_A0A524DEP6	UniRef100_A0A524DEP6_0	60	145	False	False	True	True	False	False	False	False	False (2 HMA)	False
UniRef100_A0A524F9M4	UniRef100_A0A524F9M4_0	60	145	False	False	True	True	False	False	False	False	False (2 HMA)	False
UniRef100_A0A524FUB6	UniRef100_A0A524FUB6_0	52	137	False	False	True	True	False	False	False	False	False (2 HMA) 	False
UniRef100_A0A5C9EMS8	UniRef100_A0A5C9EMS8_0	67	152	False	False	True	True	False	False	False	False	False (2 HMA) 	False
UniRef100_A0A7K4GMU3	UniRef100_A0A7K4GMU3_0	60	145	False	False	True	True	False	False	False	False	False (2 HMA)	False
UniRef100_A0A7K4GYY9	UniRef100_A0A7K4GYY9_0	59	144	False	False	True	True	False	False	False	False	False (2 HMA)	False
UniRef100_A0A0F9L317	UniRef100_A0A0F9L317_0	59	148	False	False	True	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A388L3T1	UniRef100_A0A388L3T1_0	181	293	False	False	False	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A2P5X970	UniRef100_A0A2P5X970_0	168	259	False	False	False	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A3M1LH89	UniRef100_A0A3M1LH89_0	54	163	False	False	False	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A2D7SMZ8	UniRef100_A0A2D7SMZ8_0	400	522	False	False	False	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A438JJH7	UniRef100_A0A438JJH7_0	177	270	False	False	False	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A803LQK6	UniRef100_A0A803LQK6_0	177	290	False	False	False	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A0K9PF10	UniRef100_A0A0K9PF10_0	201	314	False	False	False	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A1J6IJ10	UniRef100_A0A1J6IJ10_0	297	378	False	False	False	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A444EWG7	UniRef100_A0A444EWG7_0	209	302	False	False	False	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A650AVJ4	UniRef100_A0A650AVJ4_0	185	278	False	False	False	True	True	False	False	False	False (3 HMA)	False
UniRef100_A0A2I4H8J0	UniRef100_A0A2I4H8J0_0	168	261	False	False	False	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A6A4L8G9	UniRef100_A0A6A4L8G9_0	149	243	False	False	False	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A4P9ZAN5	UniRef100_A0A4P9ZAN5_0	131	221	False	False	False	False	True	False	False	False	False (2 HMA)	False
UniRef100_A0A024G339	UniRef100_A0A024G339_0	523	608	False	False	False	False	True	False	False	False	False (2 HMA)	False
UniRef100_M4B3J3	UniRef100_M4B3J3_0	516	602	False	False	False	False	True	False	False	False	False (2 HMA)	False
UniRef100_A0A662Y5Y4	UniRef100_A0A662Y5Y4_0	525	609	False	False	False	False	True	False	False	False	False (2 HMA)	False
UniRef100_F0WI82	UniRef100_F0WI82_0	451	535	False	False	False	False	True	False	False	False	False (2 HMA)	False
UniRef100_A0A6A3LWC3	UniRef100_A0A6A3LWC3_0	481	566	False	False	False	False	True	False	False	False	False (2 HMA)	False
UniRef100_A0A098TJ90	UniRef100_A0A098TJ90_0	1	115	True	True	True	True	True	True	True	False		True
UniRef100_A0A2D2Q3J4	UniRef100_A0A2D2Q3J4_0	1	104	True	True	True	True	True	True	True	False		True
UniRef100_B8HLW5	UniRef100_B8HLW5_0	1	140	True	True	True	True	True	True	True	False		True
UniRef100_K9S008	UniRef100_K9S008_0	1	115	True	True	True	True	True	True	True	False		True
UniRef100_V5V6W9	UniRef100_V5V6W9_0	4	104	True	True	True	True	True	False	True	False		True
UniRef100_A0A098TKN0	UniRef100_A0A098TKN0_0	260	339	True	True	True	True	True	False	False	False		True
UniRef100_A0A3C1G0E3	UniRef100_A0A3C1G0E3_0	255	336	True	True	True	True	True	False	False	False		True
UniRef100_A0A552LCK1	UniRef100_A0A552LCK1_0	245	329	True	True	True	True	True	False	False	False		True
UniRef100_A0A7V6A599	UniRef100_A0A7V6A599_0	255	336	True	True	True	True	True	False	False	False		True
UniRef100_E0UI06	UniRef100_E0UI06_0	254	335	True	True	True	True	True	False	False	False		True
UniRef100_K9RVG3	UniRef100_K9RVG3_0	266	354	True	True	True	True	True	False	False	False		True
UniRef100_A0A0F2J4I4	UniRef100_A0A0F2J4I4_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A109CWR9	UniRef100_A0A109CWR9_0	1	75	True	True	True	True	True	True	True	False		True
UniRef100_A0A177E720	UniRef100_A0A177E720_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A1E4FCY9	UniRef100_A0A1E4FCY9_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A1E4FHM4	UniRef100_A0A1E4FHM4_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A1E7HD06	UniRef100_A0A1E7HD06_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A1G1DAK6	UniRef100_A0A1G1DAK6_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A1G1H2U6	UniRef100_A0A1G1H2U6_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A1G7Q5M8	UniRef100_A0A1G7Q5M8_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A1H7P8E5	UniRef100_A0A1H7P8E5_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A1H7WVI7	UniRef100_A0A1H7WVI7_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A1I2ZQH6	UniRef100_A0A1I2ZQH6_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A1V5D475	UniRef100_A0A1V5D475_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A251X9X8	UniRef100_A0A251X9X8_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A2N9YA15	UniRef100_A0A2N9YA15_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A2T5JWD9	UniRef100_A0A2T5JWD9_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A2U3JXK8	UniRef100_A0A2U3JXK8_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A357IFU3	UniRef100_A0A357IFU3_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A3A5ASH6	UniRef100_A0A3A5ASH6_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A3A6NXQ9	UniRef100_A0A3A6NXQ9_0	1	79	True	True	True	True	True	True	True	False		True
UniRef100_A0A3B1D331	UniRef100_A0A3B1D331_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A3C1FSM5	UniRef100_A0A3C1FSM5_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A3C1FW81	UniRef100_A0A3C1FW81_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A3C1FWR3	UniRef100_A0A3C1FWR3_0	1	76	True	True	True	True	True	True	True	False		True
UniRef100_A0A3D1BKW8	UniRef100_A0A3D1BKW8_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A3N5IS64	UniRef100_A0A3N5IS64_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A3N5Z179	UniRef100_A0A3N5Z179_0	1	78	True	True	True	True	True	True	True	False		True
UniRef100_A0A3S0WML2	UniRef100_A0A3S0WML2_0	1	76	True	True	True	True	True	True	True	False		True
UniRef100_A0A419J5L4	UniRef100_A0A419J5L4_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A495V5S6	UniRef100_A0A495V5S6_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A4E0QWY4	UniRef100_A0A4E0QWY4_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A4P7C0E6	UniRef100_A0A4P7C0E6_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A4R3MYP0	UniRef100_A0A4R3MYP0_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A4R4A5P0	UniRef100_A0A4R4A5P0_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A522V264	UniRef100_A0A522V264_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A564ZLN2	UniRef100_A0A564ZLN2_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A5B8N5U1	UniRef100_A0A5B8N5U1_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A5M8FRV3	UniRef100_A0A5M8FRV3_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A6C1SX04	UniRef100_A0A6C1SX04_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A6I7Q5T8	UniRef100_A0A6I7Q5T8_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A6M0JYE8	UniRef100_A0A6M0JYE8_0	1	77	True	True	True	True	True	True	False	False		True
UniRef100_A0A6M1Y8B5	UniRef100_A0A6M1Y8B5_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A6N2E5P3	UniRef100_A0A6N2E5P3_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A7C2K4T7	UniRef100_A0A7C2K4T7_0	1	76	True	True	True	True	True	True	True	False		True
UniRef100_A0A7C3Y5Z6	UniRef100_A0A7C3Y5Z6_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A7C4MQL9	UniRef100_A0A7C4MQL9_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A7C8AQ72	UniRef100_A0A7C8AQ72_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A7C8EAF3	UniRef100_A0A7C8EAF3_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A7X8CBE8	UniRef100_A0A7X8CBE8_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A7X8GFX6	UniRef100_A0A7X8GFX6_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A7Y8HED4	UniRef100_A0A7Y8HED4_0	1	76	True	True	True	True	True	True	True	False		True
UniRef100_A0A7Y8MLS5	UniRef100_A0A7Y8MLS5_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A800C6Q2	UniRef100_A0A800C6Q2_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A836SE23	UniRef100_A0A836SE23_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A845VAG6	UniRef100_A0A845VAG6_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A8B5WT38	UniRef100_A0A8B5WT38_0	1	76	True	True	True	True	True	True	True	False		True
UniRef100_D3RV90	UniRef100_D3RV90_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_D5C0Y3	UniRef100_D5C0Y3_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_D5C2J8	UniRef100_D5C2J8_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_G2E3I0	UniRef100_G2E3I0_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_I3CBI6	UniRef100_I3CBI6_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_I3Y8J1	UniRef100_I3Y8J1_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_I4C057	UniRef100_I4C057_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_I4C2D7	UniRef100_I4C2D7_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_L0DTE9	UniRef100_L0DTE9_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_L0GXW7	UniRef100_L0GXW7_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_W9VUZ5	UniRef100_W9VUZ5_0	1	77	True	True	True	True	True	True	True	False		True
UniRef100_A0A0F2J6J2	UniRef100_A0A0F2J6J2_0	1	90	True	True	True	True	True	True	True	False		True
UniRef100_A0A120DCI9	UniRef100_A0A120DCI9_0	1	86	True	True	True	True	False	False	False	False		True
UniRef100_A0A177E6F7	UniRef100_A0A177E6F7_0	1	88	True	True	True	True	False	False	False	False		True
UniRef100_A0A1E7GNB9	UniRef100_A0A1E7GNB9_0	1	88	True	True	True	True	False	False	False	False		True
UniRef100_A0A1E7HD04	UniRef100_A0A1E7HD04_0	1	86	True	True	True	True	False	False	False	False		True
UniRef100_A0A1G1H1H8	UniRef100_A0A1G1H1H8_0	1	84	True	True	True	True	True	False	False	False		True
UniRef100_A0A1H7WUX0	UniRef100_A0A1H7WUX0_0	1	84	True	True	True	True	False	False	False	False		True
UniRef100_A0A1V5CH65	UniRef100_A0A1V5CH65_0	1	86	True	True	True	True	False	False	False	False		True
UniRef100_A0A1V5D161	UniRef100_A0A1V5D161_0	1	86	True	True	True	False	False	False	False	False		True
UniRef100_A0A318CNJ3	UniRef100_A0A318CNJ3_0	1	86	True	True	True	True	False	False	False	False		True
UniRef100_A0A3A5ASF6	UniRef100_A0A3A5ASF6_0	1	86	True	True	True	True	False	False	False	False		True
UniRef100_A0A3B1DYD9	UniRef100_A0A3B1DYD9_0	1	86	True	True	True	True	False	False	False	False		True
UniRef100_A0A3N5I7U3	UniRef100_A0A3N5I7U3_0	1	89	True	True	True	True	False	False	False	False		True
UniRef100_A0A3N5SIP1	UniRef100_A0A3N5SIP1_0	1	88	True	True	True	True	True	False	False	False		True
UniRef100_A0A3N5YSD0	UniRef100_A0A3N5YSD0_0	1	93	True	True	True	True	False	False	False	False		True
UniRef100_A0A419J5K7	UniRef100_A0A419J5K7_0	1	85	True	True	True	True	True	False	False	False		True
UniRef100_A0A4P8L1K5	UniRef100_A0A4P8L1K5_0	1	89	True	True	True	True	True	False	False	False		True
UniRef100_A0A4Q5L585	UniRef100_A0A4Q5L585_0	1	90	True	True	True	True	False	False	False	False		True
UniRef100_A0A7C2P3T3	UniRef100_A0A7C2P3T3_0	1	86	True	True	True	True	False	False	False	False		True
UniRef100_A0A7C3XXN4	UniRef100_A0A7C3XXN4_0	1	88	True	True	True	True	False	False	False	False		True
UniRef100_A0A7C4IWK1	UniRef100_A0A7C4IWK1_0	1	85	True	True	True	True	False	False	False	False		True
UniRef100_A0A7C4R795	UniRef100_A0A7C4R795_0	1	91	True	True	True	True	True	True	True	False		True
UniRef100_A0A7C8E9Y7	UniRef100_A0A7C8E9Y7_0	1	85	True	True	True	True	True	False	False	False		True
UniRef100_A0A7C9JKS5	UniRef100_A0A7C9JKS5_0	1	88	True	True	True	True	False	False	False	False		True
UniRef100_A0A7X8B0P7	UniRef100_A0A7X8B0P7_0	1	86	True	True	True	True	False	False	False	False		True
UniRef100_A0A800C669	UniRef100_A0A800C669_0	1	85	True	True	True	True	False	False	False	False		True
UniRef100_D5C0Y1	UniRef100_D5C0Y1_0	1	87	True	True	True	True	True	False	False	False		True
UniRef100_F8AAV4	UniRef100_F8AAV4_0	1	86	True	True	True	True	False	False	False	False		True
UniRef100_I4C058	UniRef100_I4C058_0	1	84	True	True	True	True	False	False	False	False		True
UniRef100_A0A0F5YDR8	UniRef100_A0A0F5YDR8_0	91	185	True	True	True	False	False	False	False	False		True
UniRef100_A0A0K1RYM3	UniRef100_A0A0K1RYM3_0	92	182	True	True	True	False	True	False	False	False		True
UniRef100_A0A1B1TYQ4	UniRef100_A0A1B1TYQ4_0	93	181	True	True	True	True	True	False	False	False		True
UniRef100_A0A1U7HLM5	UniRef100_A0A1U7HLM5_0	93	186	True	True	True	False	True	False	False	False		True
UniRef100_A0A261KQL5	UniRef100_A0A261KQL5_0	99	192	True	True	True	False	False	False	False	False		True
UniRef100_A0A3B8YCC2	UniRef100_A0A3B8YCC2_0	105	196	True	True	True	True	True	False	False	False		True
UniRef100_A0A563VN45	UniRef100_A0A563VN45_0	97	186	True	True	True	True	False	False	False	False		True
UniRef100_A0A6B3P8B4	UniRef100_A0A6B3P8B4_0	97	191	True	True	True	False	True	False	False	False		True
UniRef100_A0A6P1AC36	UniRef100_A0A6P1AC36_0	100	192	True	True	True	False	False	False	False	False		True
UniRef100_A0A6P2AA88	UniRef100_A0A6P2AA88_0	92	186	True	True	True	False	True	False	False	False		True
UniRef100_A0A844GW67	UniRef100_A0A844GW67_0	92	176	True	True	True	True	True	False	False	False		True
UniRef100_A0A846GGD6	UniRef100_A0A846GGD6_0	99	192	True	True	True	False	True	False	False	False		True
UniRef100_A3ILN0	UniRef100_A3ILN0_0	101	192	True	True	True	False	True	False	False	False		True
UniRef100_B1WT30	UniRef100_B1WT30_0	92	177	True	True	True	True	True	False	False	False		True
UniRef100_B7K1G8	UniRef100_B7K1G8_0	93	178	True	True	True	True	True	False	False	False		True
UniRef100_K9Y7W9	UniRef100_K9Y7W9_0	96	189	True	True	True	True	True	False	False	False		True
UniRef100_U7QJ82	UniRef100_U7QJ82_0	95	189	True	True	True	False	True	False	False	False		True
UniRef100_A0A0P4UNN7	UniRef100_A0A0P4UNN7_0	1	80	True	True	True	False	True	True	True	False		True
UniRef100_A0A0S3U8J3	UniRef100_A0A0S3U8J3_0	1	76	True	True	True	False	True	True	True	False		True
UniRef100_A0A2D2Q2L3	UniRef100_A0A2D2Q2L3_0	1	79	True	True	True	True	True	True	True	False		True
UniRef100_A0A2H2Y8W7	UniRef100_A0A2H2Y8W7_0	5	88	True	True	True	True	True	True	True	False		True
UniRef100_A0A3S0XS53	UniRef100_A0A3S0XS53_0	1	75	True	True	True	False	False	True	False	False		True
UniRef100_A0A3S1CNK6	UniRef100_A0A3S1CNK6_0	1	82	True	True	True	True	True	True	True	False		True
UniRef100_A0A4Q9J2G7	UniRef100_A0A4Q9J2G7_0	1	75	True	True	True	False	False	False	True	False		True
UniRef100_A0A5P8WCY8	UniRef100_A0A5P8WCY8_0	1	79	True	True	True	False	True	True	True	False		True
UniRef100_A0A7D6EUL7	UniRef100_A0A7D6EUL7_0	6	89	True	True	True	False	True	False	True	False		True
UniRef100_K9RRC2	UniRef100_K9RRC2_0	1	81	True	True	True	True	True	True	True	False		True
UniRef100_A0A098TMM5	UniRef100_A0A098TMM5_0	1	79	True	True	True	True	True	True	True	False		True
UniRef100_A0A1U7HB46	UniRef100_A0A1U7HB46_0	1	83	True	True	True	True	True	True	True	False		True
UniRef100_B8HUR6	UniRef100_B8HUR6_0	1	80	True	True	True	True	True	True	True	False		True
UniRef100_K9T588	UniRef100_K9T588_0	1	82	True	True	True	True	True	True	True	False		True
UniRef100_A0A250KWC7	UniRef100_A0A250KWC7_0	1	79	True	True	True	True	False	False	False	False		True
UniRef100_A0A2C9D111	UniRef100_A0A2C9D111_0	1	80	True	True	True	True	False	False	False	False		True
UniRef100_A0A395D0E5	UniRef100_A0A395D0E5_0	3	81	True	True	True	False	False	False	False	False		True
UniRef100_A0A3N9UXZ5	UniRef100_A0A3N9UXZ5_0	1	80	True	True	True	True	True	False	False	False		True
UniRef100_A0A5Q0BQF6	UniRef100_A0A5Q0BQF6_0	2	84	True	True	True	True	False	False	False	False		True
UniRef100_A0A5R8QHN9	UniRef100_A0A5R8QHN9_0	4	82	True	True	True	False	False	False	False	False		True
UniRef100_A0A6B8M6W2	UniRef100_A0A6B8M6W2_0	3	81	True	True	True	False	False	False	False	False		True
UniRef100_A0A858QAJ0	UniRef100_A0A858QAJ0_0	1	79	True	True	True	True	False	False	False	False		True
UniRef100_A0A0S8A645	UniRef100_A0A0S8A645_0	1	82	True	True	True	True	False	False	False	False		True
UniRef100_A0A0S8A6L8	UniRef100_A0A0S8A6L8_0	1	79	True	True	True	True	False	False	False	False		True
UniRef100_A0A0S8G221	UniRef100_A0A0S8G221_0	1	75	True	True	True	True	False	False	False	False		True
UniRef100_A0A1E3VMQ1	UniRef100_A0A1E3VMQ1_0	1	80	True	True	True	False	False	False	False	False		True
UniRef100_A0A1E4FAX4	UniRef100_A0A1E4FAX4_0	1	78	True	True	True	False	False	False	False	False		True
UniRef100_A0A1E4FIF3	UniRef100_A0A1E4FIF3_0	1	78	True	True	True	True	False	False	False	False		True
UniRef100_A0A1H3JVA1	UniRef100_A0A1H3JVA1_0	1	79	True	True	True	True	False	False	False	False		True
UniRef100_A0A1H7P892	UniRef100_A0A1H7P892_0	1	77	True	True	True	True	False	False	False	False		True
UniRef100_A0A1I2ZQL8	UniRef100_A0A1I2ZQL8_0	1	77	True	True	True	False	False	False	False	False		True
UniRef100_A0A1I3GHC9	UniRef100_A0A1I3GHC9_0	1	78	True	True	True	True	False	False	False	False		True
UniRef100_A0A286C2H3	UniRef100_A0A286C2H3_0	1	77	True	True	True	False	False	False	False	False		True
UniRef100_A0A2D4VLI0	UniRef100_A0A2D4VLI0_0	31	117	True	True	True	True	False	False	False	False		True
UniRef100_A0A2M9G3D9	UniRef100_A0A2M9G3D9_0	1	77	True	True	True	True	False	False	False	False		True
UniRef100_A0A2T3XN20	UniRef100_A0A2T3XN20_0	1	78	True	True	True	True	False	False	False	False		True
UniRef100_A0A2T5IE83	UniRef100_A0A2T5IE83_0	1	78	True	True	True	False	False	False	False	False		True
UniRef100_A0A2T5JWQ4	UniRef100_A0A2T5JWQ4_0	1	77	True	True	True	True	False	False	False	False		True
UniRef100_A0A2U0AB96	UniRef100_A0A2U0AB96_0	1	78	True	True	True	True	False	False	False	False		True
UniRef100_A0A351V2S4	UniRef100_A0A351V2S4_0	1	84	True	True	True	True	False	False	False	False		True
UniRef100_A0A380TBS4	UniRef100_A0A380TBS4_0	6	92	True	True	True	False	False	False	False	False		True
UniRef100_A0A397Q313	UniRef100_A0A397Q313_0	1	85	True	True	True	True	False	False	False	False		True
UniRef100_A0A3A6P1Y7	UniRef100_A0A3A6P1Y7_0	1	80	True	True	True	False	True	False	False	False		True
UniRef100_A0A3B8XPJ3	UniRef100_A0A3B8XPJ3_0	12	96	True	True	True	False	False	False	False	False		True
UniRef100_A0A3S0GNR6	UniRef100_A0A3S0GNR6_0	1	78	True	True	True	True	False	False	False	False		True
UniRef100_A0A522DPK1	UniRef100_A0A522DPK1_0	1	84	True	True	True	True	False	False	False	False		True
